Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf
A Christmas Carol,Charles Dickens,"Dickens, Charles",Joe L. Wheeler,1561797464,9.78156E+12,4,4.09,184,1999,1843,12/10/21,12/10/21,,,read
"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,"Gladwell, Malcolm",,316296619,9.78032E+12,5,4.02,256,2021,2021,11/30/21,11/30/21,,,read
"Trejo: My Life of Crime, Redemption, and Hollywood",Danny Trejo,"Trejo, Danny",Donal Logue,1982150823,9.78198E+12,4,4.42,288,2021,2021,11/26/21,11/26/21,,,read
"Harlem Shuffle (Ray Carney, #1)",Colson Whitehead,"Whitehead, Colson",,385545134,9.78039E+12,5,3.73,318,2021,2021,11/15/21,4/6/21,,,read
"The Man Who Died Twice (Thursday Murder Club, #2)",Richard Osman,"Osman, Richard",,,,5,4.36,422,2021,2021,10/29/21,2/18/21,,,read
The Guest List,Lucy Foley,"Foley, Lucy",,,,4,3.8,330,2020,2020,10/28/21,10/28/21,,,read
The Confidence Men: How Two Prisoners of War Engineered the Most Remarkable Escape in History,Margalit Fox,"Fox, Margalit",,1984853848,9.78198E+12,4,3.69,352,2021,2021,10/23/21,7/31/21,,,read
Dark Tales,Shirley Jackson,"Jackson, Shirley",,241295424,9.78024E+12,3,4,195,2016,2016,10/18/21,10/18/21,,,read
"Lovecraft Country (Lovecraft Country, #1)",Matt Ruff,"Ruff, Matt",,,,5,4.01,400,2016,2016,10/9/21,4/20/21,,,read
The Only Good Indians,Stephen Graham Jones,"Jones, Stephen Graham",,1982136456,9.78198E+12,5,3.68,305,2020,2020,9/27/21,9/27/21,,,read
Dr. Jekyll and Mr. Hyde,Robert Louis Stevenson,"Stevenson, Robert Louis","Vladimir Nabokov, Dan Chaon, Jerome Charyn, Simon Vestdijk",451528956,9.78045E+12,4,3.83,139,2003,1886,9/26/21,9/26/21,,,read
"City of Ghosts (Cassidy Blake, #1)",Victoria Schwab,"Schwab, Victoria",,1338111035,9.78134E+12,4,3.87,272,2018,2018,9/20/21,9/20/21,,,read
"The Amazing Maurice and His Educated Rodents (Discworld, #28)",Terry Pratchett,"Pratchett, Terry",,006001234X,9.78006E+12,4,4.08,256,2001,2001,9/18/21,9/18/21,,,read
"On the Far Side of the Mountain (Mountain, #2)",Jean Craighead George,"George, Jean Craighead",,141312416,9.78014E+12,4,3.94,192,2001,1990,9/14/21,9/14/21,,,read
"My Side of the Mountain (Mountain, #1)",Jean Craighead George,"George, Jean Craighead",,142401110,9.78014E+12,0,4.1,177,2004,1959,9/5/21,9/5/21,,,read
"The Escape (Snowpiercer, #1)",Jacques Lob,"Lob, Jacques",Jean-Marc Rochette,1782761438,9.78178E+12,4,3.32,110,2014,1982,9/1/21,9/1/21,,,read
"The Bear and the Nightingale (The Winternight Trilogy, #1)",Katherine Arden,"Arden, Katherine",,1101885939,9.7811E+12,3,4.09,319,2017,2017,8/31/21,5/19/20,,,read
The Witch's Heart,Genevieve Gornichec,"Gornichec, Genevieve",,059309994X,9.78059E+12,0,4.04,359,2021,2021,8/27/21,3/2/21,,,read
"The Tales of Beedle the Bard (Hogwarts Library, #3)",J.K. Rowling,"Rowling, J.K.",Hermione Granger,747599874,9.78075E+12,3,4.03,105,2008,2008,8/17/21,8/18/21,,,read
"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,"Follett, Ken",,045122213X,9.78045E+12,5,4.35,976,2007,1989,8/12/21,2/1/17,,,read
Transcendent Kingdom,Yaa Gyasi,"Gyasi, Yaa",,,,4,4.1,264,2020,2020,8/4/21,8/6/21,,,read
Food Rules: An Eater's Manual,Michael Pollan,"Pollan, Michael",,014311638X,9.78014E+12,4,3.99,152,2009,2008,7/27/21,7/27/21,,,read
Motherless Brooklyn,Jonathan Lethem,"Lethem, Jonathan",,345803396,9.78035E+12,5,3.86,311,2000,1999,6/23/21,6/23/21,,,read
Code Talker: The First and Only Memoir By One of the Original Navajo Code Talkers of WWII,Chester Nez,"Nez, Chester",Judith Schiess Avila,425244237,9.78043E+12,4,4.27,310,2011,2011,6/13/21,6/13/21,,,read
"Persepolis: The Story of a Childhood (Persepolis, #1)",Marjane Satrapi,"Satrapi, Marjane",Mattias Ripa,037571457X,9.78038E+12,4,4.27,153,2004,2003,5/29/21,5/6/20,,,read
Almost Somewhere: Twenty-Eight Days on the John Muir Trail (Outdoor Lives),Suzanne   Roberts,"Roberts, Suzanne",,803240120,9.7808E+12,4,3.83,262,2012,2012,5/29/21,5/28/21,,,read
From a Buick 8,Stephen  King,"King, Stephen",,743211375,9.78074E+12,3,3.49,356,2002,2002,5/22/21,5/5/20,,,read
Mexican Gothic,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,525620788,9.78053E+12,3,3.66,320,2020,2020,5/14/21,6/16/20,,,read
"Still Life (Chief Inspector Armand Gamache, #1)",Louise Penny,"Penny, Louise",,312948557,9.78031E+12,3,3.9,293,2007,2005,5/7/21,11/6/19,,,read
The Things They Carried,Tim O'Brien,"O'Brien, Tim",,767902890,9.78077E+12,5,4.15,246,1998,1990,5/6/21,5/7/21,,,read
Catch Me If You Can: The True Story of a Real Fake,Frank W. Abagnale,"Abagnale, Frank W.",Stan Redding,1840187166,9.78184E+12,3,4.04,219,2003,1980,5/2/21,5/2/21,,,read
Interior Chinatown,Charles Yu,"Yu, Charles",,,,4,3.94,288,2020,2020,4/22/21,4/22/21,,,read
"The Hobbit, or There and Back Again",J.R.R. Tolkien,"Tolkien, J.R.R.","Douglas A. Anderson, Michael Hague, Jemima Catlin",,,4,4.3,366,2002,1937,4/21/21,9/27/07,,,read
The Kite Runner,Khaled Hosseini,"Hosseini, Khaled",,159463193X,9.78159E+12,4,4.36,371,2004,2003,4/19/21,9/27/07,,,read
The Natural,Bernard Malamud,"Malamud, Bernard",Kevin Baker,374502005,9.78037E+12,3,3.61,231,2003,1952,4/12/21,2/24/15,,,read
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,"Konigsburg, E.L.",,744583276,9.78074E+12,4,4.16,159,2003,1967,4/11/21,4/12/21,,,read
Sandworm: A New Era of Cyberwar and the Hunt for the Kremlin's Most Dangerous Hackers,Andy Greenberg,"Greenberg, Andy",,385544413,9.78039E+12,4,4.34,368,2019,2019,4/6/21,1/4/21,,,read
"Storm Front (The Dresden Files, #1)",Jim  Butcher,"Butcher, Jim",,451457811,9.78045E+12,3,3.97,372,2000,2000,4/4/21,1/8/13,,,read
A Reunion of Ghosts,Judith Claire Mitchell,"Mitchell, Judith Claire",,62355880,9.78006E+12,3,3.43,400,2015,2015,3/27/21,3/27/21,,,read
Code Name Hélène,Ariel Lawhon,"Lawhon, Ariel",,385544685,9.78039E+12,4,4.41,451,2020,2020,3/19/21,3/18/21,,,read
"Time and Again (Time, #1)",Jack Finney,"Finney, Jack",,575073608,9.78058E+12,3,3.94,400,2001,1970,3/10/21,3/10/21,,,read
Exercised: Why Something We Never Evolved to Do Is Healthy and Rewarding,Daniel E. Lieberman,"Lieberman, Daniel E.",,1524746983,9.78152E+12,3,4.17,464,2021,2021,3/1/21,1/6/21,,,read
The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,765387565,9.78077E+12,4,4.17,448,2020,2020,2/22/21,10/6/20,,,read
"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,525559485,9.78053E+12,4,3.98,288,2020,2020,2/7/21,9/1/20,,,read
The Alchemist,Paulo Coelho,"Coelho, Paulo",,62315005,9.78006E+12,2,3.92,182,2014,1988,2/5/21,12/29/20,,,read
"The Wise Man's Fear (The Kingkiller Chronicle, #2)",Patrick Rothfuss,"Rothfuss, Patrick",,756404738,9.78076E+12,5,4.55,994,2011,2011,1/29/21,1/29/21,,,read
Commonwealth,Ann Patchett,"Patchett, Ann",,62491792,9.78006E+12,5,3.83,322,2016,2016,1/28/21,1/28/21,,,read
The War on Normal People: The Truth About America's Disappearing Jobs and Why Universal Basic Income Is Our Future,Andrew   Yang,"Yang, Andrew",,316414247,9.78032E+12,3,4.25,304,2018,2018,1/19/21,1/4/21,,,read
Presenting Design Work,Donna Spencer,"Spencer, Donna",,1937557804,9.78194E+12,4,4.14,52,2020,2020,1/8/21,1/8/21,,,read
Squeeze Me (Skink #8),Carl Hiaasen,"Hiaasen, Carl",,,,4,4.03,353,2020,2020,1/7/21,1/7/21,,,read
"Strange Planet (Strange Planet, #1)",Nathan W. Pyle,"Pyle, Nathan W.",,62970704,9.78006E+12,4,4.33,144,2019,2019,1/5/21,1/5/21,,,read
You Never Forget Your First: A Biography of George Washington,Alexis Coe,"Coe, Alexis",,735224102,9.78074E+12,3,3.74,261,2020,2020,12/30/20,1/1/21,,,read
Fangs,Sarah Andersen,"Andersen, Sarah",,,,0,4.21,115,2020,2020,12/30/20,1/1/21,,,read
"Spirit of Steamboat (Walt Longmire, #9.1)",Craig Johnson,"Johnson, Craig",,670015784,9.78067E+12,3,4.28,146,2013,2013,12/26/20,12/26/20,,,read
The Afterlife of Holly Chase,Cynthia Hand,"Hand, Cynthia",,62318500,9.78006E+12,4,3.94,400,2017,2017,12/19/20,12/19/20,,,read
The Thursday Murder Club,Richard Osman,"Osman, Richard",,1984880969,9.78198E+12,4,3.86,355,2020,2020,12/11/20,10/6/20,,,read
Wishin' and Hopin',Wally Lamb,"Lamb, Wally",,,,3,3.61,268,2009,2009,12/10/20,12/10/20,,,read
Becoming Duchess Goldblatt,Duchess Goldblatt,"Goldblatt, Duchess",,035821677X,9.78036E+12,5,4.04,240,2020,2020,12/2/20,12/2/20,,,read
"Magic Lessons (Practical Magic, #0.1)",Alice Hoffman,"Hoffman, Alice",,1982108843,9.78198E+12,5,4.22,396,2020,2020,11/29/20,11/28/20,,,read
Rules of Civility,Amor Towles,"Towles, Amor",,,,4,4.09,335,2011,2011,11/29/20,1/18/20,,,read
The Deep,Nick Cutter,"Cutter, Nick",,1476717737,9.78148E+12,4,3.42,394,2015,2015,11/14/20,11/14/20,,,read
"A Deadly Education (The Scholomance, #1)",Naomi Novik,"Novik, Naomi",,593128486,9.78059E+12,3,3.93,320,2020,2020,11/7/20,9/15/20,,,read
The Taking of K-129: How the CIA Used Howard Hughes to Steal a Russian Sub in the Most Daring Covert Operation in History,Josh Dean,"Dean, Josh",,1101984430,9.7811E+12,4,4.19,384,2017,2017,10/30/20,10/30/20,,,read
"Outlander (Outlander, #1)",Diana Gabaldon,"Gabaldon, Diana",,440242940,9.78044E+12,4,4.26,850,2005,1991,10/10/20,10/10/20,,,read
A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,1476738017,9.78148E+12,3,4.38,337,2014,2012,10/4/20,10/4/20,,,read
The Red Garden,Alice Hoffman,"Hoffman, Alice",,307393879,9.78031E+12,3,3.74,270,2011,2011,9/16/20,9/18/20,,,read
The Thief of Always,Clive Barker,"Barker, Clive",,64409945,9.78006E+12,4,4.21,213,2002,1992,9/13/20,10/1/07,,,read
The Dutch House,Ann Patchett,"Patchett, Ann",,62963678,9.78006E+12,5,4.1,337,2019,2019,9/11/20,9/11/20,,,read
Calypso,David Sedaris,"Sedaris, David",,316392359,9.78032E+12,4,4.1,272,2018,2018,9/4/20,9/4/20,,,read
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,1627792120,9.78163E+12,4,4.46,480,2015,2015,9/3/20,10/7/19,,,read
AWOL on the Appalachian Trail,David Miller,"Miller, David",,1595940561,9.7816E+12,4,4.11,236,2006,2006,8/23/20,8/23/20,,,read
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,075640407X,9.78076E+12,4,4.52,662,2007,2007,8/15/20,12/2/16,,,read
Permanent Record,Edward Snowden,"Snowden, Edward",,1250237238,9.78125E+12,4,4.3,339,2019,2019,8/8/20,8/8/20,,,read
"User Friendly: How the Hidden Rules of Design Are Changing the Way We Live, Work, and Play",Cliff Kuang,"Kuang, Cliff",Robert Fabricant,,,5,4.13,416,2019,2019,7/29/20,6/28/20,,,read
"Ninth House (Alex Stern, #1)",Leigh Bardugo,"Bardugo, Leigh",,1250313074,9.78125E+12,5,4,461,2019,2019,7/28/20,10/11/19,,,read
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,"Kwan, Kevin",,385536976,9.78039E+12,4,3.91,403,2013,2013,7/21/20,7/21/20,,,read
Shakespeare for Squirrels,Christopher Moore,"Moore, Christopher",,62434020,9.78006E+12,4,3.91,271,2020,2020,7/15/20,7/15/20,,,read
Circe,Madeline Miller,"Miller, Madeline",,316556343,9.78032E+12,5,4.22,393,2018,2018,7/10/20,7/10/20,,,read
The Nickel Boys,Colson Whitehead,"Whitehead, Colson",,385537077,9.78039E+12,5,4.25,213,2019,2019,7/3/20,11/20/19,,,read
"Dear Martin (Dear Martin, #1)",Nic Stone,"Stone, Nic",,,,4,4.33,224,2017,2017,6/27/20,6/27/20,,,read
There There,Tommy Orange,"Orange, Tommy",,,,4,3.97,294,2018,2018,6/26/20,4/19/20,,,read
Wolverine,Chris Claremont,"Claremont, Chris",Frank Miller,785123296,9.78079E+12,3,4.04,160,2007,1989,6/22/20,6/22/20,,,read
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",Phuc  Tran,"Tran, Phuc",,1250194717,9.78125E+12,3,4.29,320,2020,2020,6/20/20,6/20/20,,,read
City of Thieves,David Benioff,"Benioff, David",,670018708,9.78067E+12,4,4.3,258,2008,2008,6/18/20,5/17/20,,,read
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",Victoria Schwab,765376458,9.78077E+12,4,4.03,400,2015,2015,6/14/20,12/1/15,,,read
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,"Strayed, Cheryl",,307592731,9.78031E+12,5,4.07,336,2012,2012,6/11/20,6/11/20,,,read
If It Bleeds (Holly Gibney #2),Stephen  King,"King, Stephen",,,,4,3.97,438,2020,2020,6/6/20,6/5/20,,,read
The Night Watchman,Louise Erdrich,"Erdrich, Louise",,62671200,9.78006E+12,5,4.08,464,2020,2020,5/31/20,5/31/20,,,read
"The Lady in the Lake (Philip Marlowe, #4)",Raymond Chandler,"Chandler, Raymond",,394758250,9.78039E+12,3,4.06,266,1988,1943,5/24/20,5/24/20,,,read
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"Doyle, Arthur Conan",Peter Ackroyd,,,3,3.88,129,2001,1890,5/19/20,5/19/20,,,read
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,"Evanovich, Janet",,312362080,9.78031E+12,3,4.05,320,2006,1994,5/17/20,4/2/20,,,read
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,"Doyle, Arthur Conan",,1420925539,9.78142E+12,4,4.13,123,2005,1887,5/6/20,5/6/20,,,read
"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store",Cait Flanders,"Flanders, Cait",,1401954871,9.7814E+12,4,3.46,189,2018,2018,4/26/20,4/26/20,,,read
"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,"Fforde, Jasper",,1101158514,9.7811E+12,3,3.88,385,2003,2001,4/20/20,4/2/20,,,read
Becoming,Michelle Obama,"Obama, Michelle",,1524763136,9.78152E+12,5,4.44,448,2018,2018,4/17/20,4/17/20,,,read
Every Tool's a Hammer: Life Is What You Make It,Adam Savage,"Savage, Adam",,1982113472,9.78198E+12,5,4.18,309,2019,2019,4/5/20,12/17/19,,,read
"Sin in the Second City: Madams, Ministers, Playboys, and the Battle for America's Soul",Karen Abbott,"Abbott, Karen",,1400065305,9.7814E+12,3,3.63,356,2007,2007,3/6/20,3/3/20,,,read
Educated,Tara Westover,"Westover, Tara",,399590501,9.7804E+12,4,4.47,352,2018,2018,2/24/20,12/17/19,,,read
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,"Larson, Erik",,307408868,9.78031E+12,5,4.13,430,2015,2015,2/12/20,12/1/15,,,read
Biking Through,Paul V. Stutzman,"Stutzman, Paul V.",,,,3,3.93,,,2011,2/10/20,2/11/20,,,read
Never Grow Up,Jackie Chan,"Chan, Jackie",,147117722X,9.78147E+12,5,3.97,352,2018,2015,2/3/20,9/22/19,,,read
Eleanor Oliphant Is Completely Fine,Gail Honeyman,"Honeyman, Gail",,735220689,9.78074E+12,4,4.23,336,2017,2017,1/26/20,1/26/20,,,read
Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,"Gladwell, Malcolm",,316478520,9.78032E+12,4,4,388,2019,2019,1/22/20,1/22/20,,,read
A Gentleman in Moscow,Amor Towles,"Towles, Amor",,,,5,4.32,495,2019,2016,1/18/20,12/5/19,,,read
The Life and Afterlife of Harry Houdini,Joe Posnanski,"Posnanski, Joe",,1508297681,9.78151E+12,4,3.83,,2019,2019,1/15/20,1/15/20,,,read
A Visit from the Goon Squad,Jennifer Egan,"Egan, Jennifer",,307592839,9.78031E+12,3,3.7,274,2010,2010,1/9/20,1/9/20,,,read
"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Ali Wong,"Wong, Ali",Justin Hakuta,052550883X,9.78053E+12,3,3.84,240,2019,2019,1/2/20,8/6/19,,,read
Carnegie's Maid,Marie Benedict,"Benedict, Marie",,149264661X,9.78149E+12,4,3.99,283,2018,2018,12/23/19,12/23/19,,,read
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,1501135910,9.7815E+12,5,4.46,400,2016,2016,12/12/19,11/27/19,,,read
"A Christmas Memory, One Christmas, & The Thanksgiving Visitor",Truman Capote,"Capote, Truman",,,,4,4.29,107,1996,2008,12/10/19,12/11/19,,,read
Food: A Love Story,Jim Gaffigan,"Gaffigan, Jim",,804140413,9.7808E+12,4,3.72,340,2014,2014,12/5/19,12/2/14,,,read
"The Bone Witch (The Bone Witch, #1)",Rin Chupeco,"Chupeco, Rin",,1492635820,9.78149E+12,3,3.68,411,2017,2017,11/24/19,11/24/19,,,read
The Tremor of Forgery,Patricia Highsmith,"Highsmith, Patricia",,871132583,9.78087E+12,2,3.74,249,1994,1969,11/19/19,11/20/19,,,read
Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,"Higginbotham, Adam",,1501134612,9.7815E+12,4,4.37,538,2019,2019,11/15/19,8/6/19,,,read
They Called Us Enemy,George Takei,"Takei, George","Justin Eisinger, Steven Scott, Harmony Becker",1603094504,9.7816E+12,4,4.42,204,2019,2019,11/9/19,8/20/19,,,read
Play Hungry: The Making of a Baseball Player,Pete Rose,"Rose, Pete",,525558675,9.78053E+12,4,3.84,304,2019,,11/6/19,11/6/19,,,read
Churchill's Ministry of Ungentlemanly Warfare: The Mavericks Who Plotted Hitler's Defeat,Giles Milton,"Milton, Giles",,1250119022,9.78125E+12,5,4.36,368,2017,2016,11/2/19,11/2/19,,,read
Pumpkinheads,Rainbow Rowell,"Rowell, Rainbow","Faith Erin Hicks, Sarah Stern",125031285X,9.78125E+12,4,4.01,209,2019,2019,10/14/19,10/14/19,,,read
The Dark Descent of Elizabeth Frankenstein,Kiersten White,"White, Kiersten",,525577947,9.78053E+12,4,3.89,304,2018,2018,10/11/19,10/11/19,,,read
World War Z: An Oral History of the Zombie War,Max Brooks,"Brooks, Max",,307346609,9.78031E+12,5,4.02,342,2006,2006,10/4/19,8/3/12,,,read
The Corrections,Jonathan Franzen,"Franzen, Jonathan",,1841156736,9.78184E+12,4,3.85,653,2002,2001,9/25/19,9/18/19,,,read
The Witches of Eastwick,John Updike,"Updike, John",,449912108,9.78045E+12,3,3.21,307,1996,1984,9/19/19,9/19/19,,,read
Batman: Hush,Jeph Loeb,"Loeb, Jeph","Jim Lee, Scott  Williams",1401223176,9.7814E+12,2,4.27,320,2009,2002,9/16/19,9/16/19,,,read
Be Prepared,Vera Brosgol,"Brosgol, Vera",,162672444X,9.78163E+12,4,4.06,256,2018,2018,9/10/19,9/10/19,,,read
"Mouse Guard: Fall 1152 (Mouse Guard, #1)",David Petersen,"Petersen, David",,1932386572,9.78193E+12,3,4.02,192,2009,2007,9/8/19,9/8/19,,,read
"The Book Woman of Troublesome Creek (The Book Woman of Troublesome Creek, #1)",Kim Michele Richardson,"Richardson, Kim Michele",,,,4,4.22,309,2019,2019,9/8/19,7/20/19,,,read
Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,"Gaiman, Neil",,62330268,9.78006E+12,4,3.91,310,2015,2015,9/7/19,12/1/15,,,read
Sourdough,Robin Sloan,"Sloan, Robin",,374203105,9.78037E+12,5,3.75,259,2017,2017,8/30/19,9/22/17,,,read
Deep and Dark and Dangerous (A Ghost Story),Mary Downing Hahn,"Hahn, Mary Downing",,618665455,9.78062E+12,3,4.19,187,2007,2007,8/26/19,6/17/18,,,read
More Bones,Arielle North Olson,"Olson, Arielle North","Howard Schwartz, E.M. Gist",670063398,9.78067E+12,3,3.97,176,2008,2008,8/24/19,8/24/19,,,read
"The Rules of Magic (Practical Magic, #0.2)",Alice Hoffman,"Hoffman, Alice",Tanja Fornaro,,,4,4.01,369,2017,2017,8/21/19,8/21/19,,,read
Anya's Ghost,Vera Brosgol,"Brosgol, Vera",,1596437138,9.7816E+12,4,3.9,224,2011,2011,8/17/19,8/17/19,,,read
"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",Stephanie  Land,"Land, Stephanie",Barbara Ehrenreich,,,3,3.86,289,2019,2019,8/13/19,8/13/19,,,read
The Saturday Night Ghost Club,Craig Davidson,"Davidson, Craig",,735274827,9.78074E+12,3,3.82,253,2018,2018,8/9/19,7/20/19,,,read
City of Girls,Elizabeth Gilbert,"Gilbert, Elizabeth",,1594634734,9.78159E+12,4,4.04,470,2019,2019,8/7/19,8/7/19,,,read
"The Kremlin's Candidate (Red Sparrow Trilogy, #3)",Jason  Matthews,"Matthews, Jason",,1501140086,9.7815E+12,4,4.17,435,2018,2018,7/28/19,7/28/19,,,read
"Sorcery of Thorns (Sorcery of Thorns, #1)",Margaret  Rogerson,"Rogerson, Margaret",,1481497618,9.78148E+12,4,4.04,456,2019,2019,7/15/19,7/15/19,,,read
Philip K. Dick: A Comics Biography,Laurent Queyssi,"Queyssi, Laurent",Mauro Marchesi,1681121913,9.78168E+12,3,3.23,144,2019,2018,7/14/19,7/14/19,,,read
Death Wins a Goldfish: Reflections from a Grim Reaper's Yearlong Sabbatical,Brian Rea,"Rea, Brian",,1452172552,9.78145E+12,4,4.09,176,2019,2019,7/11/19,7/11/19,,,read
Something from the Oven: Reinventing Dinner in 1950s America,Laura Shapiro,"Shapiro, Laura",,014303491X,9.78014E+12,3,3.79,334,2005,2004,7/9/19,7/9/19,,,read
Madame Fourcade's Secret War: The Daring Young Woman Who Led France's Largest Spy Network Against Hitler,Lynne Olson,"Olson, Lynne",,,,4,4.22,464,2019,2019,7/5/19,7/5/19,,,read
The Cactus Eaters: How I Lost My Mind and Almost Found Myself on the Pacific Crest Trail,Dan White,"White, Dan",,61376930,9.78006E+12,4,3.42,400,2008,2008,6/12/19,7/12/10,,,read
You & a Bike & a Road,Eleanor Davis,"Davis, Eleanor",,1927668409,9.78193E+12,4,4.27,172,2017,2017,6/11/19,6/13/19,,,read
O Pioneers!,Willa Cather,"Cather, Willa",,679743626,9.78068E+12,3,3.9,159,1992,1913,5/29/19,5/29/19,,,read
This One Summer,Mariko Tamaki,"Tamaki, Mariko",Jillian Tamaki,1626720940,9.78163E+12,5,3.68,324,2014,2014,5/28/19,5/28/19,,,read
Christine,Stephen  King,"King, Stephen",Marie Milpois,2253147699,9.78225E+12,5,3.86,360,2001,1983,5/27/19,5/27/19,,,read
My Ántonia,Willa Cather,"Cather, Willa",,1583485090,9.78158E+12,5,3.84,219,1995,1918,5/17/19,5/17/19,,,read
Always Look on the Bright Side of Life: A Sortabiography,Eric Idle,"Idle, Eric",,1984822586,9.78198E+12,5,3.91,290,2018,2018,5/12/19,5/12/19,,,read
Kindred,Octavia E. Butler,"Butler, Octavia E.",,807083690,9.78081E+12,4,4.31,288,2004,1979,5/6/19,5/6/19,,,read
Bolivar,Sean Rubin,"Rubin, Sean",,1684150698,9.78168E+12,4,4.29,224,2017,2017,4/29/19,4/29/19,,,read
Elevation,Stephen  King,"King, Stephen",,1982102314,9.78198E+12,4,3.63,146,2018,2018,4/28/19,4/28/19,,,read
Warlight,Michael Ondaatje,"Ondaatje, Michael",,1787330729,9.78179E+12,3,3.6,290,2018,2018,4/26/19,4/26/19,,,read
"Giant Days, Vol. 9 (Giant Days #9)",John Allison,"Allison, John",,,,4,4.26,110,2019,2019,4/24/19,4/24/19,,,read
"Giant Days, Vol. 8 (Giant Days, #8)",John Allison,"Allison, John","Whitney Cogar, Lissa Treiman, Max Sarin, Liz Fleming",1684152070,9.78168E+12,4,4.23,112,2018,2018,4/24/19,4/24/19,,,read
"Giant Days, Vol. 7 (Giant Days, #7)",John Allison,"Allison, John","Max Sarin, John Allison",1684151317,9.78168E+12,4,4.24,112,2018,2018,4/23/19,4/24/19,,,read
"Giant Days, Vol. 6 (Giant Days, #6)",John Allison,"Allison, John","Whitney Cogar, Liz Fleming, Max Sarin",1684150280,9.78168E+12,4,4.22,112,2017,2017,4/22/19,4/24/19,,,read
"Giant Days, Vol. 5 (Giant Days, #5)",John Allison,"Allison, John","Max Sarin, Liz Fleming, Jim Campbell",1608869822,9.78161E+12,4,4.12,112,2017,2017,4/22/19,4/24/19,,,read
"Giant Days, Vol. 4 (Giant Days, #4)",John Allison,"Allison, John","Liz Fleming, Lissa Treiman, Whitney Cogar, Max Sarin",1608869385,9.78161E+12,4,4.16,112,2017,2017,4/21/19,4/21/19,,,read
"Giant Days, Vol. 3 (Giant Days, #3)",John Allison,"Allison, John","Max Sarin, Jim Campbell, Lissa Treiman",1608868516,9.78161E+12,4,4.08,112,2016,2016,4/21/19,4/21/19,,,read
"Giant Days, Vol. 2 (Giant Days, #2)",John Allison,"Allison, John","Lissa Treiman, Max Sarin",1608868044,9.78161E+12,4,4,128,2016,2016,4/21/19,4/21/19,,,read
"Giant Days, Vol. 1 (Giant Days, #1)",John Allison,"Allison, John",Lissa Treiman,1608867897,9.78161E+12,4,3.92,112,2015,2015,4/21/19,4/21/19,,,read
Batman: White Knight,Sean Gordon Murphy,"Murphy, Sean Gordon",Matt Hollingsworth,140128986X,9.7814E+12,4,4.29,232,2018,2018,4/15/19,4/18/19,,,read
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,"Pullman, Philip",,679879242,9.78068E+12,3,4.03,399,1996,1995,4/12/19,4/12/19,,,read
"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,345539826,9.78035E+12,4,4.5,466,2015,2015,4/11/19,7/27/18,,,read
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,"Stanley, Thomas J.",William D. Danko,671015206,9.78067E+12,3,4.05,258,1998,1995,4/4/19,10/15/08,,,read
The Force,Don Winslow,"Winslow, Don",,62664417,9.78006E+12,4,4.12,496,2017,2017,4/1/19,4/1/19,,,read
"Palace of Treason (Red Sparrow Trilogy, #2)",Jason  Matthews,"Matthews, Jason",,1476793743,9.78148E+12,4,4.2,480,2015,2015,3/27/19,3/27/19,,,read
Paperbacks from Hell: The Twisted History of '70s and '80s Horror Fiction,Grady Hendrix,"Hendrix, Grady",Will Errickson,1594749817,9.78159E+12,4,4.26,254,2017,2017,3/15/19,12/25/17,,,read
