Title,Author,ISBN,My Rating,Date Read,
The War on Normal People: The Truth About America's Disappearing Jobs and Why Universal Basic Income Is Our Future,Andrew   Yang,316414247,3,1/19/21,
The Alchemist,Paulo Coelho,62315005,2,2/5/21,
"My Side of the Mountain (Mountain, #1)",Jean Craighead George,142401110,0,9/5/21,
The Witch's Heart,Genevieve Gornichec,059309994X,0,8/27/21,
You Never Forget Your First: A Biography of George Washington,Alexis Coe,735224102,3,12/30/20,
Fangs,Sarah Andersen,,0,12/30/20,
"Spirit of Steamboat (Walt Longmire, #9.1)",Craig Johnson,670015784,3,12/26/20,
The Afterlife of Holly Chase,Cynthia Hand,62318500,4,12/19/20,
The Thursday Murder Club,Richard Osman,1984880969,4,12/11/20,
Wishin' and Hopin',Wally Lamb,,3,12/10/20,
Becoming Duchess Goldblatt,Duchess Goldblatt,035821677X,5,12/2/20,
"Magic Lessons (Practical Magic, #0.1)",Alice Hoffman,1982108843,5,11/29/20,
Rules of Civility,Amor Towles,,4,11/29/20,
The Deep,Nick Cutter,1476717737,4,11/14/20,
"A Deadly Education (The Scholomance, #1)",Naomi Novik,593128486,3,11/7/20,
The Taking of K-129: How the CIA Used Howard Hughes to Steal a Russian Sub in the Most Daring Covert Operation in History,Josh Dean,1101984430,4,10/30/20,
"Outlander (Outlander, #1)",Diana Gabaldon,440242940,4,10/10/20,
A Man Called Ove,Fredrik Backman,1476738017,3,10/4/20,
The Red Garden,Alice Hoffman,307393879,3,9/16/20,
The Thief of Always,Clive Barker,64409945,4,9/13/20,
The Dutch House,Ann Patchett,62963678,5,9/11/20,
Calypso,David Sedaris,316392359,4,9/4/20,
"Six of Crows (Six of Crows, #1)",Leigh Bardugo,1627792120,4,9/3/20,
AWOL on the Appalachian Trail,David Miller,1595940561,4,8/23/20,
"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,075640407X,4,8/15/20,
Permanent Record,Edward Snowden,1250237238,4,8/8/20,
"User Friendly: How the Hidden Rules of Design Are Changing the Way We Live, Work, and Play",Cliff Kuang,,5,7/29/20,
"Ninth House (Alex Stern, #1)",Leigh Bardugo,1250313074,5,7/28/20,
"Crazy Rich Asians (Crazy Rich Asians, #1)",Kevin Kwan,385536976,4,7/21/20,
Shakespeare for Squirrels,Christopher Moore,62434020,4,7/15/20,
Circe,Madeline Miller,316556343,5,7/10/20,
The Nickel Boys,Colson Whitehead,385537077,5,7/3/20,
"Dear Martin (Dear Martin, #1)",Nic Stone,,4,6/27/20,
There There,Tommy Orange,,4,6/26/20,
Wolverine,Chris Claremont,785123296,3,6/22/20,
"Sigh, Gone: A Misfit's Memoir of Great Books, Punk Rock, and the Fight to Fit In",Phuc  Tran,1250194717,3,6/20/20,
City of Thieves,David Benioff,670018708,4,6/18/20,
"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,765376458,4,6/14/20,
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,307592731,5,6/11/20,
If It Bleeds (Holly Gibney #2),Stephen  King,,4,6/6/20,
The Night Watchman,Louise Erdrich,62671200,5,5/31/20,
"The Lady in the Lake (Philip Marlowe, #4)",Raymond Chandler,394758250,3,5/24/20,
"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,,3,5/19/20,
"One for the Money (Stephanie Plum, #1)",Janet Evanovich,312362080,3,5/17/20,
"A Study in Scarlet (Sherlock Holmes, #1)",Arthur Conan Doyle,1420925539,4,5/6/20,
"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store",Cait Flanders,1401954871,4,4/26/20,
"The Eyre Affair (Thursday Next, #1)",Jasper Fforde,1101158514,3,4/20/20,
Becoming,Michelle Obama,1524763136,5,4/17/20,
Every Tool's a Hammer: Life Is What You Make It,Adam Savage,1982113472,5,4/5/20,
"Sin in the Second City: Madams, Ministers, Playboys, and the Battle for America's Soul",Karen Abbott,1400065305,3,3/6/20,
Educated,Tara Westover,399590501,4,2/24/20,
Dead Wake: The Last Crossing of the Lusitania,Erik Larson,307408868,5,2/12/20,
Biking Through,Paul V. Stutzman,,3,2/10/20,
Never Grow Up,Jackie Chan,147117722X,5,2/3/20,
Eleanor Oliphant Is Completely Fine,Gail Honeyman,735220689,4,1/26/20,
Talking to Strangers: What We Should Know About the People We Don't Know,Malcolm Gladwell,316478520,4,1/22/20,
A Gentleman in Moscow,Amor Towles,,5,1/18/20,
The Life and Afterlife of Harry Houdini,Joe Posnanski,1508297681,4,1/15/20,
A Visit from the Goon Squad,Jennifer Egan,307592839,3,1/9/20,
"Dear Girls: Intimate Tales, Untold Secrets, & Advice for Living Your Best Life",Ali Wong,052550883X,3,1/2/20,
Carnegie's Maid,Marie Benedict,149264661X,4,12/23/19,
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,1501135910,5,12/12/19,
"A Christmas Memory, One Christmas, & The Thanksgiving Visitor",Truman Capote,,4,12/10/19,
Food: A Love Story,Jim Gaffigan,804140413,4,12/5/19,
"The Bone Witch (The Bone Witch, #1)",Rin Chupeco,1492635820,3,11/24/19,
The Tremor of Forgery,Patricia Highsmith,871132583,2,11/19/19,
Midnight in Chernobyl: The Untold Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,1501134612,4,11/15/19,
They Called Us Enemy,George Takei,1603094504,4,11/9/19,
Play Hungry: The Making of a Baseball Player,Pete Rose,525558675,4,11/6/19,
Churchill's Ministry of Ungentlemanly Warfare: The Mavericks Who Plotted Hitler's Defeat,Giles Milton,1250119022,5,11/2/19,
Pumpkinheads,Rainbow Rowell,125031285X,4,10/14/19,
The Dark Descent of Elizabeth Frankenstein,Kiersten White,525577947,4,10/11/19,
World War Z: An Oral History of the Zombie War,Max Brooks,307346609,5,10/4/19,
The Corrections,Jonathan Franzen,1841156736,4,9/25/19,
The Witches of Eastwick,John Updike,449912108,3,9/19/19,
Batman: Hush,Jeph Loeb,1401223176,2,9/16/19,
Be Prepared,Vera Brosgol,162672444X,4,9/10/19,
"Mouse Guard: Fall 1152 (Mouse Guard, #1)",David Petersen,1932386572,3,9/8/19,
"The Book Woman of Troublesome Creek (The Book Woman of Troublesome Creek, #1)",Kim Michele Richardson,,4,9/8/19,
Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,62330268,4,9/7/19,
Sourdough,Robin Sloan,374203105,5,8/30/19,
Deep and Dark and Dangerous (A Ghost Story),Mary Downing Hahn,618665455,3,8/26/19,
More Bones,Arielle North Olson,670063398,3,8/24/19,
"The Rules of Magic (Practical Magic, #0.2)",Alice Hoffman,,4,8/21/19,
Anya's Ghost,Vera Brosgol,1596437138,4,8/17/19,
"Maid: Hard Work, Low Pay, and a Mother's Will to Survive",Stephanie  Land,,3,8/13/19,
The Saturday Night Ghost Club,Craig Davidson,735274827,3,8/9/19,
City of Girls,Elizabeth Gilbert,1594634734,4,8/7/19,
"The Kremlin's Candidate (Red Sparrow Trilogy, #3)",Jason  Matthews,1501140086,4,7/28/19,
"Sorcery of Thorns (Sorcery of Thorns, #1)",Margaret  Rogerson,1481497618,4,7/15/19,
Philip K. Dick: A Comics Biography,Laurent Queyssi,1681121913,3,7/14/19,
Death Wins a Goldfish: Reflections from a Grim Reaper's Yearlong Sabbatical,Brian Rea,1452172552,4,7/11/19,
Something from the Oven: Reinventing Dinner in 1950s America,Laura Shapiro,014303491X,3,7/9/19,
Madame Fourcade's Secret War: The Daring Young Woman Who Led France's Largest Spy Network Against Hitler,Lynne Olson,,4,7/5/19,
The Cactus Eaters: How I Lost My Mind and Almost Found Myself on the Pacific Crest Trail,Dan White,61376930,4,6/12/19,
You & a Bike & a Road,Eleanor Davis,1927668409,4,6/11/19,
O Pioneers!,Willa Cather,679743626,3,5/29/19,
This One Summer,Mariko Tamaki,1626720940,5,5/28/19,
Christine,Stephen  King,2253147699,5,5/27/19,
My Ántonia,Willa Cather,1583485090,5,5/17/19,
Always Look on the Bright Side of Life: A Sortabiography,Eric Idle,1984822586,5,5/12/19,
Kindred,Octavia E. Butler,807083690,4,5/6/19,
Bolivar,Sean Rubin,1684150698,4,4/29/19,
Elevation,Stephen  King,1982102314,4,4/28/19,
Warlight,Michael Ondaatje,1787330729,3,4/26/19,
"Giant Days, Vol. 9 (Giant Days #9)",John Allison,,4,4/24/19,
"Giant Days, Vol. 8 (Giant Days, #8)",John Allison,1684152070,4,4/24/19,
"Giant Days, Vol. 7 (Giant Days, #7)",John Allison,1684151317,4,4/23/19,
"Giant Days, Vol. 6 (Giant Days, #6)",John Allison,1684150280,4,4/22/19,
"Giant Days, Vol. 5 (Giant Days, #5)",John Allison,1608869822,4,4/22/19,
"Giant Days, Vol. 4 (Giant Days, #4)",John Allison,1608869385,4,4/21/19,
"Giant Days, Vol. 3 (Giant Days, #3)",John Allison,1608868516,4,4/21/19,
"Giant Days, Vol. 2 (Giant Days, #2)",John Allison,1608868044,4,4/21/19,
"Giant Days, Vol. 1 (Giant Days, #1)",John Allison,1608867897,4,4/21/19,
Batman: White Knight,Sean Gordon Murphy,140128986X,4,4/15/19,
"The Golden Compass (His Dark Materials, #1)",Philip Pullman,679879242,3,4/12/19,
"Golden Son (Red Rising Saga, #2)",Pierce Brown,345539826,4,4/11/19,
The Millionaire Next Door: The Surprising Secrets of America's Wealthy,Thomas J. Stanley,671015206,3,4/4/19,
The Force,Don Winslow,62664417,4,4/1/19,
"Palace of Treason (Red Sparrow Trilogy, #2)",Jason  Matthews,1476793743,4,3/27/19,
Paperbacks from Hell: The Twisted History of '70s and '80s Horror Fiction,Grady Hendrix,1594749817,4,3/15/19,
Beastie Boys Book,Michael    Diamond,812995546,3,3/14/19,
Wild Bill Donovan: The Spymaster Who Created the OSS and Modern American Espionage,Douglas C. Waller,1416567445,4,3/3/19,
Killing Patton: The Strange Death of World War II's Most Audacious General,Bill O'Reilly,805096698,5,2/17/19,
"Things Fall Apart (The African Trilogy, #1)",Chinua Achebe,,3,2/11/19,
"Death Without Company (Walt Longmire, #2)",Craig Johnson,143038389,4,2/4/19,
The Chaperone,Laura Moriarty,1594487014,3,2/2/19,
The Big Fella: Babe Ruth and the World He Created,Jane Leavy,62380249,2,1/24/19,
"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,,4,1/21/19,
"The Beekeeper's Apprentice (Mary Russell and Sherlock Holmes, #1)",Laurie R. King,553381520,5,1/16/19,
Operation Mincemeat: How a Dead Man and a Bizarre Plan Fooled the Nazis and Assured an Allied Victory,Ben Macintyre,747598681,4,1/9/19,
Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,385534256,4,12/18/18,
"Three Cups of Deceit: How Greg Mortenson, Humanitarian Hero, Lost His Way",Jon Krakauer,1614520011,3,12/3/18,
Fantastic Beasts and Where to Find Them,Newt Scamander,439321603,4,11/29/18,
The Gentle Art of Swedish Death Cleaning,Margareta Magnusson,1501173243,0,11/28/18,
City of Devils: The Two Men Who Ruled the Underworld of Old Shanghai,Paul   French,1427298467,4,11/21/18,
The Mistletoe Murder And Other Stories,P.D. James,1524708089,3,11/13/18,
"One Second After (After, #1)",William R. Forstchen,765317583,3,11/6/18,
It,Stephen  King,450411435,4,10/24/18,
Spinning Silver,Naomi Novik,,2,10/14/18,
"Ghost (Track, #1)",Jason Reynolds,1481450158,3,10/4/18,
11/22/63,Stephen  King,1451627289,5,10/3/18,
Refugee,Alan Gratz,545880874,4,9/20/18,
A Separate Peace,John Knowles,,4,9/14/18,
Norse Mythology,Neil Gaiman,,0,9/11/18,
Future Home of the Living God,Louise Erdrich,62694057,3,9/6/18,
Carrion Comfort,Dan Simmons,446359203,2,9/4/18,
"The Magician’s Nephew (Chronicles of Narnia, #1)",C.S. Lewis,60764902,3,9/2/18,
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,316204366,3,8/20/18,
"An Event in Autumn (Kurt Wallander, #9.5)",Henning Mankell,804170649,3,8/14/18,
"Hatchet (Brian's Saga, #1)",Gary Paulsen,689840926,4,8/10/18,
Mrs. Fletcher,Tom Perrotta,1501144022,4,8/8/18,
"The Giver (The Giver, #1)",Lois Lowry,385732554,4,8/1/18,
Noir,Christopher Moore,62433970,3,7/28/18,
"Red Rising (Red Rising Saga, #1)",Pierce Brown,345539788,4,7/27/18,
"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,,5,7/18/18,
The 13 Clocks,James Thurber,440405823,3,7/5/18,
"Sing, Unburied, Sing",Jesmyn Ward,,4,7/2/18,
"Red Sparrow (Red Sparrow Trilogy, #1)",Jason  Matthews,1476706123,5,7/1/18,
Sapiens: A Brief History of Humankind,Yuval Noah Harari,,5,6/25/18,
Post Office,Charles Bukowski,,4,6/9/18,
Go Set a Watchman,Harper Lee,62409859,2,6/5/18,
The Devil in the White City,Erik Larson,,3,5/21/18,
Between the World and Me,Ta-Nehisi Coates,,3,5/17/18,
Team of Teams: New Rules of Engagement for a Complex World,Stanley McChrystal,1591847486,3,5/7/18,
Nature Girl,Carl Hiaasen,,4,4/17/18,
The Midnight Cool,Lydia Peelle,62475495,3,4/10/18,
Astrophysics for People in a Hurry,Neil deGrasse Tyson,393609391,4,3/29/18,
The Life and Times of the Thunderbolt Kid,Bill Bryson,076791936X,5,3/19/18,
Hombre,Elmore Leonard,,3,3/13/18,
"Unbroken: A World War II Story of Survival, Resilience and Redemption",Laura Hillenbrand,1400064163,4,3/6/18,
Mating in Captivity: Unlocking Erotic Intelligence,Esther Perel,,3,3/4/18,
"Teacher Man (Frank McCourt, #3)",Frank McCourt,743243781,0,2/23/18,
'Tis,Frank McCourt,6551815,3,2/19/18,
"Angela’s Ashes (Frank McCourt, #1)",Frank McCourt,7205236,0,2/7/18,
"Dodge City: Wyatt Earp, Bat Masterson, and the Wickedest Town in the American West (Frontier Lawmen)",Tom Clavin,,3,2/6/18,
The Best We Could Do,Thi Bui,1419718770,4,1/21/18,
Lincoln in the Bardo,George Saunders,,4,1/19/18,
Secondhand Souls (Grim Reaper #2),Christopher Moore,,3,1/15/18,
Evicted: Poverty and Profit in the American City,Matthew Desmond,553447432,4,12/31/17,
Water for Elephants,Sara Gruen,1565125606,4,12/21/17,
Annihilation (Southern Reach #1),Jeff Vandermeer,1443428396,4,12/12/17,
Batman: The Night of the Owls,Scott Snyder,1401237738,4,12/3/17,
"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,7119313,4,11/28/17,
"Poison Study (Study, #1)",Maria V. Snyder,778324338,3,11/26/17,
"The Cold Dish (Walt Longmire, #1)",Craig Johnson,143036424,4,11/23/17,
Slade House,David  Mitchell,812998685,4,10/22/17,
The Stepford Wives,Ira Levin,60080841,3,10/14/17,
Uprooted,Naomi Novik,804179034,5,9/14/17,
"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,374214913,5,8/28/17,
The Westing Game,Ellen Raskin,014240120X,3,8/22/17,
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J.D. Vance,,4,7/27/17,
Made for Love,Alissa Nutting,62280554,3,7/16/17,
Set the Boy Free,Johnny Marr,62438727,3,7/2/17,
"Razor Girl (Andrew Yancy, #2)",Carl Hiaasen,385349742,4,6/25/17,
Drop Dead Healthy: One Man's Humble Quest for Bodily Perfection,A.J. Jacobs,141659907X,3,6/21/17,
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,,2,6/17/17,
"The Wind Through the Keyhole (The Dark Tower, #4.5)",Stephen  King,,3,6/12/17,
The Girl on the Train,Paula Hawkins,1594633665,4,5/18/17,
The Sleepwalker,Chris Bohjalian,038553891X,3,5/3/17,
Station Eleven,Emily St. John Mandel,385353308,4,5/1/17,
"The Enchantress (The Secrets of the Immortal Nicholas Flamel, #6)",Michael  Scott,385735359,4,4/30/17,
"The Warlock (The Secrets of the Immortal Nicholas Flamel, #5)",Michael  Scott,385735332,3,4/26/17,
"The Necromancer  (The Secrets of the Immortal Nicholas Flamel, #4)",Michael  Scott,385905165,4,4/21/17,
"The Sorceress (The Secrets of the Immortal Nicholas Flamel, #3)",Michael  Scott,385735294,4,4/18/17,
"The Magician (The Secrets of the Immortal Nicholas Flamel, #2)",Michael  Scott,385733585,4,4/15/17,
Sneaky People,Thomas Berger,743257952,3,4/2/17,
The Cocktail Waitress,James M. Cain,1781160325,3,3/26/17,
"Mossflower (Redwall, #2)",Brian Jacques,,4,3/23/17,
"Delivering Happiness: A Path to Profits, Passion, and Purpose",Tony Hsieh,446563048,2,3/8/17,
"Killing Floor (Jack Reacher, #1)",Lee Child,515141429,4,2/23/17,
The Nightingale,Kristin Hannah,312577222,5,1/31/17,
Marx,Corinne Maier,1907704833,3,1/16/17,
"The Alchemyst (The Secrets of the Immortal Nicholas Flamel, #1)",Michael  Scott,552562521,5,1/15/17,
